ID,Lemma,Primary_gloss,Definition,Status,Conf,Field,REM_refs
meroitic_001,kdi,"Kush, Black Land, primordial essence",Kush (geographical designation),LOCKED,0.98,Identity-Geographic,
meroitic_002,mroe,Meroe (capital city),Meroë – capital city of Kush,LOCKED,0.95,Geographic-Political,
meroitic_003,mlo,"king, divine authority, consciousness ruler",King (divine rulership),LOCKED,0.9,Royal-Divine-Authority,
meroitic_004,qore,crown prince,Crown prince / heir apparent / regional lord (non-sovereign),LOCKED,0.88,Royal-Political,
meroitic_005,amn,Amun (deity name),Amun (deity name),LOCKED,0.98,Divine-Religious,
meroitic_006,ato,"water (SACRED ONLY), life force, consciousness flow",Water (sacred contexts only),LOCKED,0.85,Sacred-Elemental,
meroitic_007,ye,go,Go / come / travel (literal motion; core verb).,STABLE,0.7,Movement-Transformation,
meroitic_008,nb,"lord, master","Lord, master (noble title)",LOCKED,0.92,Authority-Title,
meroitic_009,1,one,One (single unit),LOCKED,0.99,Numerical,
meroitic_010,3,three,Three (3),LOCKED,0.99,Numerical,
meroitic_011,10,ten,Ten (10),LOCKED,0.97,Numerical,
meroitic_012,kndke,Kandake,Kandake — Queen / Mother-Queen (highest feminine royal authority of Kush; often sovereign co-ruler/regent),LOCKED,0.96,Royal-Title-Feminine,
meroitic_013,nbw,gold,Gold (metal),LOCKED,0.94,Trade-Material,
meroitic_014,biꜣ,iron,"Iron, meteoric iron",LOCKED,0.9,Material-Industry,
meroitic_015,ḥʿpy,"Nile flood, inundation",Inundation (annual flood of Nile),LOCKED,0.93,Environmental-Temporal,
meroitic_016,imnt,west (direction),West (direction).,LOCKED,0.85,Cosmology-Direction,
meroitic_017,se,child-of,Lineage connector between names (child-of / descendant-of).,LOCKED,0.99,Kinship-Grammar,
meroitic_018,kde,mother,Mother,LOCKED,0.9,Kinship,
meroitic_019,sš,scribe,Scribe (professional writer),STABLE,0.82,Administrative-Professional-Bureaucratic,
meroitic_020,di,"give, offer",Give (transfer action),LOCKED,0.9,Action-Religious-Offering,
meroitic_021,ꜣpd-mk,"Apedemak, lion god",Apedemak (indigenous deity),STABLE,0.8,Divine-Indigenous-Cosmic,
meroitic_022,ꜣbw,ivory,Ivory (elephant tusk),LOCKED,0.95,Trade-Material,
meroitic_023,snṯr,incense,Incense (aromatic resin),LOCKED,0.9,Religious-Trade,
meroitic_024,ḏt,"eternity, forever",Eternity (time without end),LOCKED,0.92,Temporal-Abstract,
meroitic_025,m-r-furnace,smelting furnace,Smelting furnace (for metallurgy),STABLE,0.8,Technology-Industry,
meroitic_026,t-k-hammer,forge hammer,Forge hammer (metalworking hammer),STABLE,0.75,Technology-Industry,
meroitic_027,biꜣ-implement,iron tool,Iron tool/implement,STABLE,0.78,Technology-Industry,
meroitic_028,kdi-ato,primordial black water,Primordial water of Kush,STABLE,0.83,Mythology-Cosmogony,
meroitic_029,afterlife iron fields,afterlife iron fields,Hypothesized afterlife-paradise concept (speculative; needs explicit epigraphic support),PROVISIONAL,0.2,Afterlife-Paradise,
meroitic_030,ye imnt,ye imnt — westward transition (funerary formula),Fixed funerary formula meaning a westward transition/journey (often used as a death euphemism).,LOCKED,0.98,Afterlife-Transition,
meroitic_031,mlo kdi [NAME],King of Kush [Personal Name],"King of Kush, [Name]",LOCKED,0.99,Royal-Protocol,
meroitic_032,di ato n [DEITY],Give water to [DEITY],Offer water to [God],LOCKED,0.99,Ritual-Offering,
meroitic_033,[NAME] se [PARENT],"[Name], son of [Parent]","[Personal Name], son of [Parent Name]",LOCKED,1.0,Kinship-Identification,
meroitic_034,[SUBJECT] ḏt [SUBJECT],[Subject] forever [Subject],[Name] is forever [Name],LOCKED,0.93,Eternity-Statement,
meroitic_035,kdi kdi kdi,"Kush, Kush, Kush",Kush (repeated thrice for emphasis),LOCKED,0.99,Identity-Mantra,
meroitic_036,hbny,ebony (black hardwood),Ebony (hardwood timber),LOCKED,0.9,Trade-Material,
meroitic_044,swty,merchant,gloss: trader,STABLE,0.82,Commerce,
meroitic_045,ḫꜣrw,caravan,gloss: kharou,STABLE,0.78,Commerce-Transport,
meroitic_046,dbn,weight unit,gloss: deben,LOCKED,0.85,Commerce,
meroitic_047,šnʿ,trade,gloss: exchange,STABLE,0.75,Commerce,
meroitic_054,lo,genitive or focus particle (“of”,genitive or focus particle (“of”/“the one”),STABLE,0.7,Grammar,
meroitic_055,-owi,“is” or relational copula (in genealogies),“is” or relational copula (in genealogies),PROVISIONAL,0.65,Grammar,
meroitic_056,-wo,“is” or relational copula (in genealogies),“is” or relational copula (in genealogies),PROVISIONAL,0.65,Grammar,
meroitic_053,wos,Isis (deity),Isis (deity),PROVISIONAL,0.6,Divine-Religious,
meroitic_057,sorey,Osiris (deity),Osiris (deity),PROVISIONAL,0.6,Divine-Religious,
meroitic_058,tameya,Tameya (Roman Egyptian people),Tameya (Roman Egyptian people),LOCKED,0.9,Political-Military,
meroitic_059,napata,Napata (ancient Kushite capital),Napata (ancient Kushite capital),LOCKED,0.95,Geographical,
meroitic_060,wꜣt-tꜣ-mḥw,Road to Lower Egypt,Road to Lower Egypt,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_061,swn,Aswan,Aswan,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_062,rꜣ-qd,Alexandria,Alexandria,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_063,wꜣḏ-wr,Mediterranean ports,Mediterranean ports,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_064,wꜣt-iꜣmw-dšr,Red Sea Path,Red Sea Path,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_065,brnyk,Berenike,Berenike,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_066,ꜣrb,Arabia,Arabia,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_067,mkꜣ-ꜣꜣ,Indian Ocean,Indian Ocean,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_068,wꜣt-ḥꜣpy-rs,Upper Nile Route,Upper Nile Route,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_069,ꜣksm,Axum,Axum,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_070,ꜣfr-ḥry,Central Africa,Central Africa,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_071,wꜣt-dšrt,Desert Crossing,Desert Crossing,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_072,wḥꜣt,Oases,Oases,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_073,dr-fr,Darfur,Darfur,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_074,beyond-sand,Trans-Saharan,Trans-Saharan,LOCKED,0.88,Trade Routes & Toponyms,
meroitic_075,wꜣt,road,road / route,LOCKED,0.9,Transport & Logistics,
meroitic_076,tꜣ,land,land / territory,STABLE,0.8,Geography,
meroitic_077,mḥw,north,north / Lower (Egypt),STABLE,0.78,Geography,
meroitic_078,dšrt,desert,desert / red land,STABLE,0.78,Geography,
meroitic_079,šꜣdwf,manual water-lifting device,manual water-lifting device (counterpoise lever),LOCKED,0.86,Agriculture & Water Control,
meroitic_080,sꜣqiyꜣ,water wheel,water wheel (animal-driven),LOCKED,0.86,Agriculture & Water Control,
meroitic_081,mr,canal,canal (irrigation channel),LOCKED,0.86,Agriculture & Water Control,
meroitic_082,ḥsp,basin,basin (flood basin for cultivation),LOCKED,0.86,Agriculture & Water Control,
meroitic_083,dnit,dyke,dyke (embankment for water control),LOCKED,0.86,Agriculture & Water Control,
meroitic_084,hb,plough,plough (ox-drawn plow),LOCKED,0.86,Agriculture & Water Control,
meroitic_085,mꜣ,sickle,sickle (harvesting knife),LOCKED,0.86,Agriculture & Water Control,
meroitic_086,nwd,winnowing scoop,winnowing scoop/fork (grain separator),LOCKED,0.86,Agriculture & Water Control,
